Campaign,Ad group,Status,Max CPC
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,Paused,0.35
GH_Search_Engines_HighIntent,Camry Engine,Paused,0.35
GH_Search_Engines_HighIntent,Vitz Yaris Engine,Paused,0.35
GH_Search_Engines_HighIntent,Hyundai Kia SUV Engine,Paused,0.35
GH_Search_Engines_HighIntent,Hyundai Kia Sedan Engine,Paused,0.35
GH_Search_Engines_HighIntent,Nissan Engine,Paused,0.35
GH_Search_Engines_HighIntent,Honda Engine,Paused,0.35
GH_Search_Gearboxes_HighIntent,Corolla Gearbox,Paused,0.35
GH_Search_Gearboxes_HighIntent,Camry Gearbox,Paused,0.35
GH_Search_Gearboxes_HighIntent,Hyundai Kia Gearbox,Paused,0.35
GH_Search_HalfCuts_Import,Half Cut Ghana,Paused,0.35
GH_Search_Import_FromChina,China To Ghana Auto Parts,Paused,0.35
