Campaign,Ad group,Keyword,Match type,Status,Final URL,Custom parameter
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,corolla 2007 engine,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=corolla+2007+engine,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,corolla 2008 engine,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=corolla+2008+engine,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,corolla 2009 engine,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=corolla+2009+engine,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,corolla 2010 engine,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=corolla+2010+engine,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,corolla 2011 engine,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=corolla+2011+engine,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,corolla 2012 engine,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=corolla+2012+engine,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,corolla 2013 engine,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=corolla+2013+engine,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,corolla 2009 2010 2011 engine,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=corolla+2009+2010+2011+engine,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,toyota corolla engine ghana,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=toyota+corolla+engine+ghana,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,toyota corolla engine accra,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=toyota+corolla+engine+accra,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,toyota corolla engine for sale ghana,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=toyota+corolla+engine+for+sale+ghana,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,corolla engine with gearbox,Phrase,Paused,https://asia-power.com/ghana.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=corolla+engine+with+gearbox,
GH_Search_Engines_HighIntent,Corolla 2009-2013 Engine,corolla 1zr engine,Phrase,Paused,https://asia-power.com/engines/1zr-fe.html?utm_source=google&utm_medium=cpc&utm_campaign=gh_search_engines_highintent&utm_content=corolla_2009_2013_engine&utm_term=corolla+1zr+engine,
