code	brand	displacement	applications	buying_focus
F16D3	GM / Chevrolet / Buick	1.6 L	0:Buick Excelle;1:Buick Excelle HRV	Compare the full F16D3 code with F16D3D, F16D4 and LDE offers. An Excelle or Cruze badge does not identify the same engine across countries.
LDE	GM / Chevrolet / Buick	1.6 L	0:Buick Excelle GT;1:Buick Excelle XT	Separate the 1.6-litre LDE from the 1.8-litre 2H0 and turbocharged LLU sold in related Buick and Chevrolet ranges.
2H0	GM / Chevrolet / Buick	1.8 L	0:Buick Excelle GT;1:Buick Excelle XT	Read the final character as the digit zero. Quotes written as 2HO need a clear stamping photo before ordering.
L2B	GM / Chevrolet / Buick	1.5 L	0:Baojun 610;2:Baojun 730;3:Buick Excelle;7:Wuling Hongguang	L2B appears in both passenger cars and vans. Check the donor layout, sump, mounting brackets and gearbox connection for the actual application.
LE5	GM / Chevrolet / Buick	2.4 L	1:Buick GL8 Luzun;2:Buick Regal II;3:Buick LaCrosse I	Do not order a 2.4-litre GM engine by displacement alone. LE5 and LAF listings require separate identification and fuel-system checks.
LAF	GM / Chevrolet / Buick	2.4 L	0:Buick GL8 S;1:Buick Regal II;3:Chevrolet Malibu	An LAF quote should identify the engine and the included fuel-system equipment. An LE5 assembly is not approved merely because both are advertised as GM 2.4.
LTG	GM / Chevrolet / Buick	2.0 L	2:Buick Regal III;4:Buick Envision;5:Cadillac ATS-L;12:Chevrolet Equinox	LTG spans different vehicle layouts and calibrations. Specify the recipient chassis and identify the turbo, fuel equipment, sump and electronics included in the package.
LFV	GM / Chevrolet / Buick	1.5 L	0:Buick Regal III;1:Buick LaCrosse III	Keep the 1.5 turbo LFV separate from naturally aspirated L2B and L3G quotations. Confirm the donor vehicle and emissions equipment.
LLU	GM / Chevrolet / Buick	1.6 L	0:Buick Regal II;1:Buick Regal II	The catalogue distinguishes LLU turbo versions and dates. Record the precise version rather than treating every Buick 1.6 as an LDE replacement.
L3G	GM / Chevrolet / Buick	1.5 L	0:Buick Verano;1:Chevrolet Cruze II	The same 1.5-litre sales description can conceal L3G and L2B differences. Start with the stamping and original vehicle specification.
