engine_code,historical_rows,decision,evidence_date,current_stock_verified
1NZ-FE,0,removed_from_priority,2026-07-04 local file modification date,no
3ZR-FE,1,removed_from_priority,2026-07-04 local file modification date,no
2NZ-FE,1,deferred_low_evidence,2026-07-04 local file modification date,no
1ZZ-FE,0,deferred_low_evidence,2026-07-04 local file modification date,no
1ZR-FE,28,candidate_verify_supply,2026-07-04 local file modification date,no
2ZR-FE,4,candidate_verify_supply,2026-07-04 local file modification date,no
1AZ-FE,7,candidate_verify_supply,2026-07-04 local file modification date,no
2AZ-FE,12,candidate_verify_supply,2026-07-04 local file modification date,no
2TR-FE,0,deferred_low_evidence,2026-07-04 local file modification date,no
1GR-FE,3,candidate_verify_supply,2026-07-04 local file modification date,no
G4FC,32,candidate_verify_supply,2026-07-04 local file modification date,no
G4FG,6,candidate_verify_supply,2026-07-04 local file modification date,no
G4GC,21,candidate_verify_supply,2026-07-04 local file modification date,no
G4KD,3,candidate_verify_supply,2026-07-04 local file modification date,no
G4KE,9,candidate_verify_supply,2026-07-04 local file modification date,no
G4KJ,0,deferred_low_evidence,2026-07-04 local file modification date,no
G4NA,17,candidate_verify_supply,2026-07-04 local file modification date,no
G6BA,3,candidate_verify_supply,2026-07-04 local file modification date,no
K20A,0,deferred_low_evidence,2026-07-04 local file modification date,no
K24A,0,deferred_low_evidence,2026-07-04 local file modification date,no
K24A8,14,candidate_verify_supply,2026-07-04 local file modification date,no
K24Z4,3,candidate_verify_supply,2026-07-04 local file modification date,no
R18A1,3,candidate_verify_supply,2026-07-04 local file modification date,no
R20A3,32,candidate_verify_supply,2026-07-04 local file modification date,no
L15A7,2,candidate_verify_supply,2026-07-04 local file modification date,no
L13Z,6,candidate_verify_supply,2026-07-04 local file modification date,no
HR15DE,6,candidate_verify_supply,2026-07-04 local file modification date,no
HR16DE,21,candidate_verify_supply,2026-07-04 local file modification date,no
MR20DE,11,candidate_verify_supply,2026-07-04 local file modification date,no
QR25DE,4,candidate_verify_supply,2026-07-04 local file modification date,no
4B11,2,candidate_verify_supply,2026-07-04 local file modification date,no
4B12,1,deferred_low_evidence,2026-07-04 local file modification date,no
M16A,7,candidate_verify_supply,2026-07-04 local file modification date,no
K10B,3,candidate_verify_supply,2026-07-04 local file modification date,no
G4ED,9,candidate_verify_supply,2026-07-04 local file modification date,no
R18A2,8,candidate_verify_supply,2026-07-04 local file modification date,no
G4KA,4,candidate_verify_supply,2026-07-04 local file modification date,no
L15A1,4,candidate_verify_supply,2026-07-04 local file modification date,no
VQ25DE,2,candidate_verify_supply,2026-07-04 local file modification date,no
5AR-FE,2,candidate_verify_supply,2026-07-04 local file modification date,no
6AR-FSE,0,domestic_application_only_supply_pending,2026-07-04 local file modification date,no
7NR-FE,0,domestic_application_only_supply_pending,2026-07-04 local file modification date,no
6ZR-FE,0,domestic_application_only_supply_pending,2026-07-04 local file modification date,no
BYD472QC,0,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
BYD472ZQB,0,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
BYD473QE,1,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
GW4G15,0,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
GW4G15B,0,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
GW4B15,0,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
GW4C20A,0,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
SQRE4G16,1,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
SQRE4T15C,0,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
SQRF4J16,0,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
SQRF4J20,0,content_priority_supply_unverified,2026-09-10 research; 2026-07-04 inventory file,no
