row,model,vin,image_path,confidence,engine_code,transmission_code
387,本田 本田CR-V 2007款 2.4L 自动四驱豪华版,LVHRE487695049116,data/qxb-photos/row-0387_本田_本田 本田CR-V 2007款 2.4L 自动四驱豪华版/16_ad4ccd50ef.jpg,album_ocr:very_high:gray:rot0,,
23,本田 本田CR-V 2007款 2.4L 自动四驱豪华版,LVHRE489795047389,data/qxb-photos/row-0023_本田_本田 本田CR-V 2007款 2.4L 自动四驱豪华版/16_4768f9519c.jpg,very_high:gray:rot0,,
26,日产 颐达 2009款 1.6L 自动科技版,LGBG12E219Y612782,data/qxb-photos/row-0026_日产_日产 颐达 2009款 1.6L 自动科技版/16_ee93e33f6c.jpg,very_high:gray:rot0,,
28,丰田 威驰 2010款 1.3L GL-i标准版 AT,,,none,,
34,现代 领翔 2009款 2.0L MT GL,LBENFAJB2AX071149,data/qxb-photos/row-0034_现代_现代 领翔 2009款 2.0L MT GL/19_52b14cebb7.jpg,ceo_confirmed:photo19,,
37,Sportage,TESTVIN1234567890,data/qxb-photos/row-0037_起亚_起亚 智跑 2011款 2.0L 自动四驱版GLS/03_7ced8d8bd3.jpg,ceo_review_ui,ENG,AT
45,现代 途胜 2009款 2.0L 手动两驱时尚型,LBEJMBJB1BX245868,data/qxb-photos/row-0045_现代_现代 途胜 2009款 2.0L 手动两驱时尚型/17_429f7e0a2d.jpg,ceo_confirmed:photo17,,
46,现代 瑞纳 2010款 三厢 1.4L 手动舒适型GS,LBERCACBXCX320873,data/qxb-photos/row-0046_现代_现代 瑞纳 2010款 三厢 1.4L 手动舒适型GS/17_b177dd2f4c.jpg,ceo_confirmed:photo17,,
48,Land Cruiser Prado,TESTVIN1234567890,data/qxb-photos/row-0048_丰田_丰田 普拉多 2010款 4.0L 自动VX/01_93d49f3965.jpg,ceo_nameplate,E,T
49,本田 本田CR-V 2013款 2.4L 四驱豪华版,ABZCYPBZC757SNSAU,data/qxb-photos/row-0049_本田_本田 本田CR-V 2013款 2.4L 四驱豪华版/01_5dc7c24ca1.jpg,album_ocr:compact:contrast:rot0,,
51,日产 逍客 2010款 20S火 CVT 2WD,A82010520SKCVT2WD,data/qxb-photos/row-0051_日产_日产 逍客 2010款 20S火 CVT 2WD/14_2b76ea10cd.jpg,high:contrast:rot0,,
62,本田 飞度 2011款 1.5L 自动全景天窗版,LHGGE8870C2000286,data/qxb-photos/row-0062_本田_本田 飞度 2011款 1.5L 自动全景天窗版/03_32b26b69ff.jpg,ceo_confirmed:photo3,,
64,现代 途胜 2013款 2.0L 自动两驱舒适型,LRRAUBAGAEFRUENSE,data/qxb-photos/row-0064_现代_现代 途胜 2013款 2.0L 自动两驱舒适型/03_b69d34770f.jpg,high:gray:rot0,,
66,丰田 卡罗拉 2007款 1.6L 自动GL,S8RSFEZRE151LGEPN,data/qxb-photos/row-0066_丰田_丰田 卡罗拉 2007款 1.6L 自动GL/02_482beb1772.jpg,high:invert:rot270,,
68,丰田 锐志 2006款 2.5V,ANSSEANKAYVAYPSTN,data/qxb-photos/row-0068_丰田_丰田 锐志 2006款 2.5V/03_fee484eab8.jpg,album_ocr:compact:contrast:rot0,,
69,本田 雅阁 2004款 2.4L,LHGCM567142038761,data/qxb-photos/row-0069_本田_本田 雅阁 2004款 2.4L/03_49405a6ffb.jpg,ceo_confirmed:photo3,,
72,日产 轩逸 2012款 经典 1.6XE 手动舒适版,LGBG12E21CY125738,data/qxb-photos/row-0072_日产_日产 轩逸 2012款 经典 1.6XE 手动舒适版/17_48b41c3f4e.jpg,ceo_confirmed:photo17,,
73,奔驰 奔驰C级 2010款 C 180K 经典型,ARR180R7FARRE2719,data/qxb-photos/row-0073_奔驰_奔驰 奔驰C级 2010款 C 180K 经典型/17_5e3379f99d.jpg,album_ocr:compact:contrast:rot0,,
74,现代 索纳塔 2011款 2.0L 自动顶级版,XESV21RSSRNSARNW2,data/qxb-photos/row-0074_现代_现代 索纳塔 2011款 2.0L 自动顶级版/02_26ef839f6e.jpg,high:contrast:rot270,,
75,丰田 逸致 2011款 180G CVT舒适版,JNS5NSBBKLL75PF1Z,data/qxb-photos/row-0075_丰田_丰田 逸致 2011款 180G CVT舒适版/03_adb667c582.jpg,album_ocr:compact:contrast:rot0,,
